index,innumcluster,overlaps,stretches,position,friction,middleCharge,otherCharge,otherparam,otherpara,AnzahlLinks
1803,0,0.0,0.0,0.0,0.4,-18,-18,15,112,644
1804,0,0.0,0.0,0.0,0.4,-18,-18,15,116,644
1805,0,0.0,0.0,0.0,0.4,-18,-18,15,120,644
1836,0,0.0,0.0,0.0,0.4,-18,-12,15,100,644
1837,0,0.0,0.0,0.0,0.4,-18,-12,15,104,644
1838,0,0.0,0.0,0.0,0.4,-18,-12,15,108,644
1839,0,0.0,0.0,0.0,0.4,-18,-12,15,112,644
1840,0,0.0,0.0,0.0,0.4,-18,-12,15,116,644
1841,0,0.0,0.0,0.0,0.4,-18,-12,15,120,644
1872,0,0.0,0.0,0.0,0.4,-18,-6,15,100,644
1873,0,0.0,0.0,0.0,0.4,-18,-6,15,104,644
1874,0,0.0,0.0,0.0,0.4,-18,-6,15,108,644
1875,0,0.0,0.0,0.0,0.4,-18,-6,15,112,644
1876,0,0.0,0.0,0.0,0.4,-18,-6,15,116,644
1877,0,0.0,0.0,0.0,0.4,-18,-6,15,120,644
1908,0,0.0,0.0,0.0,0.4,-18,0,15,100,644
1909,0,0.0,0.0,0.0,0.4,-18,0,15,104,644
1910,0,0.0,0.0,0.0,0.4,-18,0,15,108,644
1911,0,0.0,0.0,0.0,0.4,-18,0,15,112,644
1912,0,0.0,0.0,0.0,0.4,-18,0,15,116,644
1913,0,0.0,0.0,0.0,0.4,-18,0,15,120,644
1944,0,0.0,0.0,0.0,0.4,-12,-30,15,100,644
1945,0,0.0,0.0,0.0,0.4,-12,-30,15,104,644
1946,0,0.0,0.0,0.0,0.4,-12,-30,15,108,644
1947,0,0.0,0.0,0.0,0.4,-12,-30,15,112,644
1948,0,0.0,0.0,0.0,0.4,-12,-30,15,116,644
1949,0,0.0,0.0,0.0,0.4,-12,-30,15,120,644
1980,0,0.0,0.0,0.0,0.4,-12,-24,15,100,644
1981,0,0.0,0.0,0.0,0.4,-12,-24,15,104,644
1982,0,0.0,0.0,0.0,0.4,-12,-24,15,108,644
1983,0,0.0,0.0,0.0,0.4,-12,-24,15,112,644
1984,0,0.0,0.0,0.0,0.4,-12,-24,15,116,644
1985,0,0.0,0.0,0.0,0.4,-12,-24,15,120,644
2016,0,0.0,0.0,0.0,0.4,-12,-18,15,100,644
2017,0,0.0,0.0,0.0,0.4,-12,-18,15,104,644
2018,0,0.0,0.0,0.0,0.4,-12,-18,15,108,644
2019,0,0.0,0.0,0.0,0.4,-12,-18,15,112,644
2020,0,0.0,0.0,0.0,0.4,-12,-18,15,116,644
2021,0,0.0,0.0,0.0,0.4,-12,-18,15,120,644
2052,0,0.0,0.0,0.0,0.4,-12,-12,15,100,644
2053,0,0.0,0.0,0.0,0.4,-12,-12,15,104,644
2054,0,0.0,0.0,0.0,0.4,-12,-12,15,108,644
2055,0,0.0,0.0,0.0,0.4,-12,-12,15,112,644
2056,0,0.0,0.0,0.0,0.4,-12,-12,15,116,644
2057,0,0.0,0.0,0.0,0.4,-12,-12,15,120,644
2088,0,0.0,0.0,0.0,0.4,-12,-6,15,100,644
2089,0,0.0,0.0,0.0,0.4,-12,-6,15,104,644
2090,0,0.0,0.0,0.0,0.4,-12,-6,15,108,644
2091,0,0.0,0.0,0.0,0.4,-12,-6,15,112,644
2092,0,0.0,0.0,0.0,0.4,-12,-6,15,116,644
2093,0,0.0,0.0,0.0,0.4,-12,-6,15,120,644
2124,0,0.0,0.0,0.0,0.4,-12,0,15,100,644
2125,0,0.0,0.0,0.0,0.4,-12,0,15,104,644
2126,0,0.0,0.0,0.0,0.4,-12,0,15,108,644
2127,0,0.0,0.0,0.0,0.4,-12,0,15,112,644
2128,0,0.0,0.0,0.0,0.4,-12,0,15,116,644
2129,0,0.0,0.0,0.0,0.4,-12,0,15,120,644
2160,0,0.0,0.0,0.0,0.4,-6,-30,15,100,644
2161,0,0.0,0.0,0.0,0.4,-6,-30,15,104,644
2162,0,0.0,0.0,0.0,0.4,-6,-30,15,108,644
2163,0,0.0,0.0,0.0,0.4,-6,-30,15,112,644
2164,0,0.0,0.0,0.0,0.4,-6,-30,15,116,644
2165,0,0.0,0.0,0.0,0.4,-6,-30,15,120,644
2168,0,0.0,0.0,0.0,0.4,-6,-30,16,108,644
2196,0,0.0,0.0,0.0,0.4,-6,-24,15,100,644
2197,0,0.0,0.0,0.0,0.4,-6,-24,15,104,644
2198,0,0.0,0.0,0.0,0.4,-6,-24,15,108,644
2199,0,0.0,0.0,0.0,0.4,-6,-24,15,112,644
2200,0,0.0,0.0,0.0,0.4,-6,-24,15,116,644
2201,0,0.0,0.0,0.0,0.4,-6,-24,15,120,644
2232,0,0.0,0.0,0.0,0.4,-6,-18,15,100,644
2233,0,0.0,0.0,0.0,0.4,-6,-18,15,104,644
2234,0,0.0,0.0,0.0,0.4,-6,-18,15,108,644
2235,0,0.0,0.0,0.0,0.4,-6,-18,15,112,644
2236,0,0.0,0.0,0.0,0.4,-6,-18,15,116,644
2237,0,0.0,0.0,0.0,0.4,-6,-18,15,120,644
2268,0,0.0,0.0,0.0,0.4,-6,-12,15,100,644
2269,0,0.0,0.0,0.0,0.4,-6,-12,15,104,644
2270,0,0.0,0.0,0.0,0.4,-6,-12,15,108,644
2271,0,0.0,0.0,0.0,0.4,-6,-12,15,112,644
2272,0,0.0,0.0,0.0,0.4,-6,-12,15,116,644
2273,0,0.0,0.0,0.0,0.4,-6,-12,15,120,644
2304,0,0.0,0.0,0.0,0.4,-6,-6,15,100,644
2305,0,0.0,0.0,0.0,0.4,-6,-6,15,104,644
2306,0,0.0,0.0,0.0,0.4,-6,-6,15,108,644
2307,0,0.0,0.0,0.0,0.4,-6,-6,15,112,644
2308,0,0.0,0.0,0.0,0.4,-6,-6,15,116,644
2309,0,0.0,0.0,0.0,0.4,-6,-6,15,120,644
2340,0,0.0,0.0,0.0,0.4,-6,0,15,100,644
2341,0,0.0,0.0,0.0,0.4,-6,0,15,104,644
2342,0,0.0,0.0,0.0,0.4,-6,0,15,108,644
2343,0,0.0,0.0,0.0,0.4,-6,0,15,112,644
2344,0,0.0,0.0,0.0,0.4,-6,0,15,116,644
2345,0,0.0,0.0,0.0,0.4,-6,0,15,120,644
2376,0,0.0,0.0,0.0,0.4,0,-30,15,100,644
2377,0,0.0,0.0,0.0,0.4,0,-30,15,104,644
2378,0,0.0,0.0,0.0,0.4,0,-30,15,108,644
2379,0,0.0,0.0,0.0,0.4,0,-30,15,112,644
2380,0,0.0,0.0,0.0,0.4,0,-30,15,116,644
2381,0,0.0,0.0,0.0,0.4,0,-30,15,120,644
2412,0,0.0,0.0,0.0,0.4,0,-24,15,100,644
2413,0,0.0,0.0,0.0,0.4,0,-24,15,104,644
2414,0,0.0,0.0,0.0,0.4,0,-24,15,108,644
2415,0,0.0,0.0,0.0,0.4,0,-24,15,112,644
2416,0,0.0,0.0,0.0,0.4,0,-24,15,116,644
2417,0,0.0,0.0,0.0,0.4,0,-24,15,120,644
2448,0,0.0,0.0,0.0,0.4,0,-18,15,100,644
2449,0,0.0,0.0,0.0,0.4,0,-18,15,104,644
2450,0,0.0,0.0,0.0,0.4,0,-18,15,108,644
2451,0,0.0,0.0,0.0,0.4,0,-18,15,112,644
2452,0,0.0,0.0,0.0,0.4,0,-18,15,116,644
2453,0,0.0,0.0,0.0,0.4,0,-18,15,120,644
2484,0,0.0,0.0,0.0,0.4,0,-12,15,100,644
2485,0,0.0,0.0,0.0,0.4,0,-12,15,104,644
2486,0,0.0,0.0,0.0,0.4,0,-12,15,108,644
2487,0,0.0,0.0,0.0,0.4,0,-12,15,112,644
2488,0,0.0,0.0,0.0,0.4,0,-12,15,116,644
2489,0,0.0,0.0,0.0,0.4,0,-12,15,120,644
2520,0,0.0,0.0,0.0,0.4,0,-6,15,100,644
2521,0,0.0,0.0,0.0,0.4,0,-6,15,104,644
2522,0,0.0,0.0,0.0,0.4,0,-6,15,108,644
2523,0,0.0,0.0,0.0,0.4,0,-6,15,112,644
