index,innumcluster,overlaps,stretches,position,friction,middleCharge,otherCharge,otherparam,AnzahlLinks
1152,0,0.0,0.0,0.0,0.35,-22,-30,14,644
1153,0,0.0,0.0,0.0,0.35,-22,-30,15,644
1154,0,0.0,0.0,0.0,0.35,-22,-30,16,644
1160,0,0.0,0.0,0.0,0.35,-22,-26,14,644
1161,0,0.0,0.0,0.0,0.35,-22,-26,15,644
1168,0,0.0,0.0,0.0,0.35,-22,-22,14,644
1169,0,0.0,0.0,0.0,0.35,-22,-22,15,644
1176,0,0.0,0.0,0.0,0.35,-22,-18,14,644
1177,0,0.0,0.0,0.0,0.35,-22,-18,15,644
1184,0,0.0,0.0,0.0,0.35,-22,-14,14,644
1185,0,0.0,0.0,0.0,0.35,-22,-14,15,644
1192,0,0.0,0.0,0.0,0.35,-22,-10,14,644
1193,0,0.0,0.0,0.0,0.35,-22,-10,15,644
1200,0,0.0,0.0,0.0,0.35,-22,-6,14,644
1201,0,0.0,0.0,0.0,0.35,-22,-6,15,644
1208,0,0.0,0.0,0.0,0.35,-22,-2,14,644
1209,0,0.0,0.0,0.0,0.35,-22,-2,15,644
1216,0,0.0,0.0,0.0,0.35,-18,-30,14,644
1217,0,0.0,0.0,0.0,0.35,-18,-30,15,644
1218,0,0.0,0.0,0.0,0.35,-18,-30,16,644
1224,0,0.0,0.0,0.0,0.35,-18,-26,14,644
1225,0,0.0,0.0,0.0,0.35,-18,-26,15,644
1232,0,0.0,0.0,0.0,0.35,-18,-22,14,644
1233,0,0.0,0.0,0.0,0.35,-18,-22,15,644
1240,0,0.0,0.0,0.0,0.35,-18,-18,14,644
1241,0,0.0,0.0,0.0,0.35,-18,-18,15,644
1248,0,0.0,0.0,0.0,0.35,-18,-14,14,644
1249,0,0.0,0.0,0.0,0.35,-18,-14,15,644
1256,0,0.0,0.0,0.0,0.35,-18,-10,14,644
1257,0,0.0,0.0,0.0,0.35,-18,-10,15,644
1264,0,0.0,0.0,0.0,0.35,-18,-6,14,644
1265,0,0.0,0.0,0.0,0.35,-18,-6,15,644
1272,0,0.0,0.0,0.0,0.35,-18,-2,14,644
1273,0,0.0,0.0,0.0,0.35,-18,-2,15,644
1280,0,0.0,0.0,0.0,0.35,-14,-30,14,644
1281,0,0.0,0.0,0.0,0.35,-14,-30,15,644
1288,0,0.0,0.0,0.0,0.35,-14,-26,14,644
1289,0,0.0,0.0,0.0,0.35,-14,-26,15,644
1296,0,0.0,0.0,0.0,0.35,-14,-22,14,644
1297,0,0.0,0.0,0.0,0.35,-14,-22,15,644
1304,0,0.0,0.0,0.0,0.35,-14,-18,14,644
1305,0,0.0,0.0,0.0,0.35,-14,-18,15,644
1312,0,0.0,0.0,0.0,0.35,-14,-14,14,644
1313,0,0.0,0.0,0.0,0.35,-14,-14,15,644
1320,0,0.0,0.0,0.0,0.35,-14,-10,14,644
1321,0,0.0,0.0,0.0,0.35,-14,-10,15,644
1328,0,0.0,0.0,0.0,0.35,-14,-6,14,644
1329,0,0.0,0.0,0.0,0.35,-14,-6,15,644
1336,0,0.0,0.0,0.0,0.35,-14,-2,14,644
1337,0,0.0,0.0,0.0,0.35,-14,-2,15,644
1344,0,0.0,0.0,0.0,0.35,-10,-30,14,644
1345,0,0.0,0.0,0.0,0.35,-10,-30,15,644
1346,0,0.0,0.0,0.0,0.35,-10,-30,16,644
1352,0,0.0,0.0,0.0,0.35,-10,-26,14,644
1353,0,0.0,0.0,0.0,0.35,-10,-26,15,644
1360,0,0.0,0.0,0.0,0.35,-10,-22,14,644
1361,0,0.0,0.0,0.0,0.35,-10,-22,15,644
1368,0,0.0,0.0,0.0,0.35,-10,-18,14,644
1369,0,0.0,0.0,0.0,0.35,-10,-18,15,644
1376,0,0.0,0.0,0.0,0.35,-10,-14,14,644
1377,0,0.0,0.0,0.0,0.35,-10,-14,15,644
1384,0,0.0,0.0,0.0,0.35,-10,-10,14,644
1385,0,0.0,0.0,0.0,0.35,-10,-10,15,644
1392,0,0.0,0.0,0.0,0.35,-10,-6,14,644
1393,0,0.0,0.0,0.0,0.35,-10,-6,15,644
1400,0,0.0,0.0,0.0,0.35,-10,-2,14,644
1401,0,0.0,0.0,0.0,0.35,-10,-2,15,644
1408,0,0.0,0.0,0.0,0.35,-6,-30,14,644
1409,0,0.0,0.0,0.0,0.35,-6,-30,15,644
1416,0,0.0,0.0,0.0,0.35,-6,-26,14,644
1417,0,0.0,0.0,0.0,0.35,-6,-26,15,644
1424,0,0.0,0.0,0.0,0.35,-6,-22,14,644
1425,0,0.0,0.0,0.0,0.35,-6,-22,15,644
1432,0,0.0,0.0,0.0,0.35,-6,-18,14,644
